2025-09-25 13:44:06.278002 Epoch [005/100], Step [0200/1150], Loss1: 0.3799 Loss2: 0.5976 Loss3: 0.3680
2025-09-25 13:45:09.803079 Epoch [005/100], Step [0250/1150], Loss1: 0.3132 Loss2: 0.4435 Loss3: 0.2904
2025-09-25 13:46:13.008337 Epoch [005/100], Step [0300/1150], Loss1: 0.3304 Loss2: 0.5358 Loss3: 0.3036
2025-09-25 13:47:16.069218 Epoch [005/100], Step [0350/1150], Loss1: 0.3692 Loss2: 0.5362 Loss3: 0.3468
2025-09-25 13:48:19.034276 Epoch [005/100], Step [0400/1150], Loss1: 0.3905 Loss2: 0.4896 Loss3: 0.3515
2025-09-25 13:49:21.919680 Epoch [005/100], Step [0450/1150], Loss1: 0.4103 Loss2: 0.5598 Loss3: 0.3787
2025-09-25 13:50:25.003902 Epoch [005/100], Step [0500/1150], Loss1: 0.3910 Loss2: 0.4478 Loss3: 0.3526
2025-09-25 13:51:28.010953 Epoch [005/100], Step [0550/1150], Loss1: 0.4319 Loss2: 0.6849 Loss3: 0.4270
2025-09-25 13:52:30.950616 Epoch [005/100], Step [0600/1150], Loss1: 0.5507 Loss2: 0.7677 Loss3: 0.5314
2025-09-25 13:53:33.848697 Epoch [005/100], Step [0650/1150], Loss1: 0.3540 Loss2: 0.6247 Loss3: 0.3468
2025-09-25 13:54:36.777127 Epoch [005/100], Step [0700/1150], Loss1: 0.5455 Loss2: 0.9343 Loss3: 0.5139
2025-09-25 13:55:39.841569 Epoch [005/100], Step [0750/1150], Loss1: 0.3302 Loss2: 0.4831 Loss3: 0.3083
2025-09-25 13:56:42.638845 Epoch [005/100], Step [0800/1150], Loss1: 0.3143 Loss2: 0.4416 Loss3: 0.2967
2025-09-25 13:57:45.247693 Epoch [005/100], Step [0850/1150], Loss1: 0.4814 Loss2: 0.6664 Loss3: 0.4744
2025-09-25 13:58:47.926917 Epoch [005/100], Step [0900/1150], Loss1: 0.2439 Loss2: 0.3557 Loss3: 0.2184
2025-09-25 13:59:50.526029 Epoch [005/100], Step [0950/1150], Loss1: 0.4778 Loss2: 0.6638 Loss3: 0.4656
2025-09-25 14:00:53.105947 Epoch [005/100], Step [1000/1150], Loss1: 0.3260 Loss2: 0.4744 Loss3: 0.3046
2025-09-25 14:01:55.822882 Epoch [005/100], Step [1050/1150], Loss1: 0.3281 Loss2: 0.4268 Loss3: 0.2966
2025-09-25 14:02:58.591737 Epoch [005/100], Step [1100/1150], Loss1: 0.3279 Loss2: 0.4929 Loss3: 0.3073
2025-09-25 14:04:00.737205 Epoch [005/100], Step [1150/1150], Loss1: 0.4667 Loss2: 0.6308 Loss3: 0.4288
2025-09-25 14:04:06.336168 Epoch [006/100], Step [0001/1150], Loss1: 0.3623 Loss2: 0.5144 Loss3: 0.3422
2025-09-25 14:05:07.832172 Epoch [006/100], Step [0050/1150], Loss1: 0.3244 Loss2: 0.4740 Loss3: 0.3257
2025-09-25 14:06:10.672424 Epoch [006/100], Step [0100/1150], Loss1: 0.3343 Loss2: 0.4714 Loss3: 0.3070
2025-09-25 14:07:13.749955 Epoch [006/100], Step [0150/1150], Loss1: 0.3322 Loss2: 0.4970 Loss3: 0.3198
2025-09-25 14:08:16.760640 Epoch [006/100], Step [0200/1150], Loss1: 0.3518 Loss2: 0.4641 Loss3: 0.3275
2025-09-25 14:09:19.726141 Epoch [006/100], Step [0250/1150], Loss1: 0.3000 Loss2: 0.4096 Loss3: 0.2979
2025-09-25 14:10:22.673105 Epoch [006/100], Step [0300/1150], Loss1: 0.5130 Loss2: 0.6832 Loss3: 0.4900
2025-09-25 14:11:25.623896 Epoch [006/100], Step [0350/1150], Loss1: 0.3084 Loss2: 0.4108 Loss3: 0.2612
2025-09-25 14:12:28.512371 Epoch [006/100], Step [0400/1150], Loss1: 0.3851 Loss2: 0.4992 Loss3: 0.3713
2025-09-25 14:13:31.571616 Epoch [006/100], Step [0450/1150], Loss1: 0.5353 Loss2: 0.7245 Loss3: 0.5063
2025-09-25 14:14:34.597614 Epoch [006/100], Step [0500/1150], Loss1: 0.4467 Loss2: 0.6853 Loss3: 0.4114
2025-09-25 14:15:37.647388 Epoch [006/100], Step [0550/1150], Loss1: 0.5214 Loss2: 0.6540 Loss3: 0.4984
2025-09-25 14:16:40.421839 Epoch [006/100], Step [0600/1150], Loss1: 0.4400 Loss2: 0.5102 Loss3: 0.4297
2025-09-25 14:17:43.516916 Epoch [006/100], Step [0650/1150], Loss1: 0.4454 Loss2: 0.7987 Loss3: 0.4266
2025-09-25 14:18:46.547972 Epoch [006/100], Step [0700/1150], Loss1: 0.2434 Loss2: 0.3614 Loss3: 0.2234
2025-09-25 14:19:49.655155 Epoch [006/100], Step [0750/1150], Loss1: 0.2951 Loss2: 0.4907 Loss3: 0.2993
2025-09-25 14:20:52.518424 Epoch [006/100], Step [0800/1150], Loss1: 0.2729 Loss2: 0.4193 Loss3: 0.2635
2025-09-25 14:21:55.588449 Epoch [006/100], Step [0850/1150], Loss1: 0.4617 Loss2: 0.5591 Loss3: 0.4264
2025-09-25 14:22:59.227449 Epoch [006/100], Step [0900/1150], Loss1: 0.3788 Loss2: 0.5224 Loss3: 0.3374
