[2025-06-25 11:59:01.268647] => [Epoch Num: 014/100] => [Global Step: 0000/0168] => [Loss: 1.7401]
[2025-06-25 12:00:12.546503] => [Epoch Num: 014/100] => [Global Step: 0020/0168] => [Loss: 1.7201]
[2025-06-25 12:01:23.865147] => [Epoch Num: 014/100] => [Global Step: 0040/0168] => [Loss: 1.7194]
[2025-06-25 12:02:35.337867] => [Epoch Num: 014/100] => [Global Step: 0060/0168] => [Loss: 1.7209]
[2025-06-25 12:03:46.403618] => [Epoch Num: 014/100] => [Global Step: 0080/0168] => [Loss: 1.7133]
[2025-06-25 12:04:57.745231] => [Epoch Num: 014/100] => [Global Step: 0100/0168] => [Loss: 1.7112]
[2025-06-25 12:06:09.075672] => [Epoch Num: 014/100] => [Global Step: 0120/0168] => [Loss: 1.7136]
[2025-06-25 12:07:20.171316] => [Epoch Num: 014/100] => [Global Step: 0140/0168] => [Loss: 1.7036]
[2025-06-25 12:08:31.238037] => [Epoch Num: 014/100] => [Global Step: 0160/0168] => [Loss: 1.7050]
[2025-06-25 12:09:02.831519] => [Epoch Num: 015/100] => [Global Step: 0000/0168] => [Loss: 1.7142]
[2025-06-25 12:10:13.898730] => [Epoch Num: 015/100] => [Global Step: 0020/0168] => [Loss: 1.7063]
[2025-06-25 12:11:24.982304] => [Epoch Num: 015/100] => [Global Step: 0040/0168] => [Loss: 1.7061]
[2025-06-25 12:12:36.284661] => [Epoch Num: 015/100] => [Global Step: 0060/0168] => [Loss: 1.7031]
[2025-06-25 12:13:47.534222] => [Epoch Num: 015/100] => [Global Step: 0080/0168] => [Loss: 1.6991]
[2025-06-25 12:14:58.616331] => [Epoch Num: 015/100] => [Global Step: 0100/0168] => [Loss: 1.6934]
[2025-06-25 12:16:09.861774] => [Epoch Num: 015/100] => [Global Step: 0120/0168] => [Loss: 1.6972]
[2025-06-25 12:17:20.877624] => [Epoch Num: 015/100] => [Global Step: 0140/0168] => [Loss: 1.6915]
[2025-06-25 12:18:32.166491] => [Epoch Num: 015/100] => [Global Step: 0160/0168] => [Loss: 1.6874]
[2025-06-25 12:19:03.364252] => [Epoch Num: 016/100] => [Global Step: 0000/0168] => [Loss: 1.6946]
[2025-06-25 12:20:14.453951] => [Epoch Num: 016/100] => [Global Step: 0020/0168] => [Loss: 1.6872]
[2025-06-25 12:21:25.536143] => [Epoch Num: 016/100] => [Global Step: 0040/0168] => [Loss: 1.6960]
[2025-06-25 12:22:36.701673] => [Epoch Num: 016/100] => [Global Step: 0060/0168] => [Loss: 1.6883]
[2025-06-25 12:23:47.860470] => [Epoch Num: 016/100] => [Global Step: 0080/0168] => [Loss: 1.6874]
[2025-06-25 12:24:59.055436] => [Epoch Num: 016/100] => [Global Step: 0100/0168] => [Loss: 1.6786]
[2025-06-25 12:26:10.013228] => [Epoch Num: 016/100] => [Global Step: 0120/0168] => [Loss: 1.6856]
[2025-06-25 12:27:21.269597] => [Epoch Num: 016/100] => [Global Step: 0140/0168] => [Loss: 1.6771]
[2025-06-25 12:28:32.114184] => [Epoch Num: 016/100] => [Global Step: 0160/0168] => [Loss: 1.6770]
[2025-06-25 12:29:03.439530] => [Epoch Num: 017/100] => [Global Step: 0000/0168] => [Loss: 1.6757]
[2025-06-25 12:30:14.370735] => [Epoch Num: 017/100] => [Global Step: 0020/0168] => [Loss: 1.6703]
[2025-06-25 12:31:25.481082] => [Epoch Num: 017/100] => [Global Step: 0040/0168] => [Loss: 1.6739]
[2025-06-25 12:32:36.580385] => [Epoch Num: 017/100] => [Global Step: 0060/0168] => [Loss: 1.6675]
[2025-06-25 12:33:47.768486] => [Epoch Num: 017/100] => [Global Step: 0080/0168] => [Loss: 1.6714]
[2025-06-25 12:34:58.963919] => [Epoch Num: 017/100] => [Global Step: 0100/0168] => [Loss: 1.6752]
[2025-06-25 12:36:09.965311] => [Epoch Num: 017/100] => [Global Step: 0120/0168] => [Loss: 1.6775]
[2025-06-25 12:37:21.249789] => [Epoch Num: 017/100] => [Global Step: 0140/0168] => [Loss: 1.6622]
[2025-06-25 12:38:32.218843] => [Epoch Num: 017/100] => [Global Step: 0160/0168] => [Loss: 1.6688]
[2025-06-25 12:39:03.758862] => [Epoch Num: 018/100] => [Global Step: 0000/0168] => [Loss: 1.6654]
[2025-06-25 12:40:14.975200] => [Epoch Num: 018/100] => [Global Step: 0020/0168] => [Loss: 1.6691]
[2025-06-25 12:41:26.063060] => [Epoch Num: 018/100] => [Global Step: 0040/0168] => [Loss: 1.6374]
[2025-06-25 12:42:37.283387] => [Epoch Num: 018/100] => [Global Step: 0060/0168] => [Loss: 1.6662]
