[2025-06-24 10:06:02 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:08:46 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:14:10 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:16:40 AM-Train.py-INFO:CCD-Train]
[2025-06-25 10:58:30 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0160/0168], Loss: 1.9112]
[2025-06-25 10:59:01 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0000/0168], Loss: 1.9094]
[2025-06-25 11:00:12 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0020/0168], Loss: 1.9024]
[2025-06-25 11:01:23 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0040/0168], Loss: 1.9204]
[2025-06-25 11:02:34 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0060/0168], Loss: 1.8875]
[2025-06-25 11:03:45 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0080/0168], Loss: 1.8846]
[2025-06-25 11:04:56 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0100/0168], Loss: 1.8789]
[2025-06-25 11:06:08 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0120/0168], Loss: 1.8880]
[2025-06-25 11:07:19 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0140/0168], Loss: 1.8852]
[2025-06-25 11:08:30 AM-Train.py-INFO:#TRAIN#:Epoch [008/100], Step [0160/0168], Loss: 1.8605]
[2025-06-25 11:09:01 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0000/0168], Loss: 1.8829]
[2025-06-25 11:10:12 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0020/0168], Loss: 1.8717]
[2025-06-25 11:11:23 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0040/0168], Loss: 1.9759]
[2025-06-25 11:12:34 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0060/0168], Loss: 1.8731]
[2025-06-25 11:13:45 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0080/0168], Loss: 1.8644]
[2025-06-25 11:14:56 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0100/0168], Loss: 1.8445]
[2025-06-25 11:16:07 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0120/0168], Loss: 1.8508]
[2025-06-25 11:17:19 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0140/0168], Loss: 1.8322]
[2025-06-25 11:18:30 AM-Train.py-INFO:#TRAIN#:Epoch [009/100], Step [0160/0168], Loss: 1.8418]
[2025-06-25 11:19:01 AM-Train.py-INFO:#TRAIN#:Epoch [010/100], Step [0000/0168], Loss: 1.8187]
[2025-06-25 11:20:12 AM-Train.py-INFO:#TRAIN#:Epoch [010/100], Step [0020/0168], Loss: 1.8287]
[2025-06-25 11:21:23 AM-Train.py-INFO:#TRAIN#:Epoch [010/100], Step [0040/0168], Loss: 1.8354]
[2025-06-25 11:22:34 AM-Train.py-INFO:#TRAIN#:Epoch [010/100], Step [0060/0168], Loss: 1.8137]
[2025-06-25 11:23:45 AM-Train.py-INFO:#TRAIN#:Epoch [010/100], Step [0080/0168], Loss: 1.8023]
[2025-06-25 11:24:56 AM-Train.py-INFO:#TRAIN#:Epoch [010/100], Step [0100/0168], Loss: 1.8000]
[2025-06-25 11:26:07 AM-Train.py-INFO:#TRAIN#:Epoch [010/100], Step [0120/0168], Loss: 1.8094]
[2025-06-25 11:27:18 AM-Train.py-INFO:#TRAIN#:Epoch [010/100], Step [0140/0168], Loss: 1.8155]
[2025-06-25 11:28:29 AM-Train.py-INFO:#TRAIN#:Epoch [010/100], Step [0160/0168], Loss: 1.8064]
[2025-06-25 11:29:01 AM-Train.py-INFO:#TRAIN#:Epoch [011/100], Step [0000/0168], Loss: 1.7872]
[2025-06-25 11:30:12 AM-Train.py-INFO:#TRAIN#:Epoch [011/100], Step [0020/0168], Loss: 1.7858]
[2025-06-25 11:31:23 AM-Train.py-INFO:#TRAIN#:Epoch [011/100], Step [0040/0168], Loss: 1.7949]
[2025-06-25 11:32:34 AM-Train.py-INFO:#TRAIN#:Epoch [011/100], Step [0060/0168], Loss: 1.7787]
[2025-06-25 11:33:46 AM-Train.py-INFO:#TRAIN#:Epoch [011/100], Step [0080/0168], Loss: 1.7730]
[2025-06-25 11:34:57 AM-Train.py-INFO:#TRAIN#:Epoch [011/100], Step [0100/0168], Loss: 1.7890]
